name,red,green,blue,cluster
xkcd:brick red,0.5607843137254902,0.0784313725490196,0.00784313725490196,18
xkcd:bluegrey,0.5215686274509804,0.6392156862745098,0.6980392156862745,19
xkcd:snot,0.6745098039215687,0.7333333333333333,0.050980392156862744,7
xkcd:dark green blue,0.12156862745098039,0.38823529411764707,0.3411764705882353,-1
xkcd:dark periwinkle,0.4,0.37254901960784315,0.8196078431372549,20
xkcd:pure blue,0.00784313725490196,0.011764705882352941,0.8862745098039215,-1
xkcd:bright aqua,0.043137254901960784,0.9764705882352941,0.9176470588235294,46
xkcd:purplish,0.5803921568627451,0.33725490196078434,0.5490196078431373,21
xkcd:pale,1.0,0.9764705882352941,0.8156862745098039,9
xkcd:forrest green,0.08235294117647059,0.26666666666666666,0.023529411764705882,16
xkcd:blue grey,0.3764705882352941,0.48627450980392156,0.5568627450980392,12
xkcd:light green blue,0.33725490196078434,0.9882352941176471,0.6352941176470588,22
xkcd:buff,0.996078431372549,0.9647058823529412,0.6196078431372549,9
xkcd:greyish pink,0.7843137254901961,0.5529411764705883,0.5803921568627451,23
xkcd:sickly yellow,0.8156862745098039,0.8941176470588236,0.1607843137254902,28
xkcd:blue violet,0.36470588235294116,0.023529411764705882,0.9137254901960784,24
xkcd:ice blue,0.8431372549019608,1.0,0.996078431372549,0
xkcd:dark olive,0.21568627450980393,0.24313725490196078,0.00784313725490196,25
xkcd:pastel yellow,1.0,0.996078431372549,0.44313725490196076,5
xkcd:baby green,0.5490196078431373,1.0,0.6196078431372549,8
xkcd:slate blue,0.3568627450980392,0.48627450980392156,0.6,12
xkcd:bright lilac,0.788235294117647,0.3686274509803922,0.984313725490196,13
xkcd:purpley,0.5294117647058824,0.33725490196078434,0.8941176470588236,-1
xkcd:pale sky blue,0.7411764705882353,0.9647058823529412,0.996078431372549,0
xkcd:vivid blue,0.08235294117647059,0.1803921568627451,1.0,-1
xkcd:pale gold,0.9921568627450981,0.8705882352941177,0.4235294117647059,5
xkcd:poop brown,0.47843137254901963,0.34901960784313724,0.00392156862745098,7
xkcd:greeny blue,0.25882352941176473,0.7019607843137254,0.5843137254901961,-1
xkcd:ecru,0.996078431372549,1.0,0.792156862745098,9
xkcd:dirt,0.5411764705882353,0.43137254901960786,0.27058823529411763,17
xkcd:orangey yellow,0.9921568627450981,0.7254901960784313,0.08235294117647059,26
xkcd:pale brown,0.6941176470588235,0.5686274509803921,0.43137254901960786,14
xkcd:pale lavender,0.9333333333333333,0.8117647058823529,0.996078431372549,27
xkcd:yellow green,0.7529411764705882,0.984313725490196,0.17647058823529413,28
xkcd:viridian,0.11764705882352941,0.5686274509803921,0.403921568627451,2
xkcd:dark violet,0.20392156862745098,0.00392156862745098,0.24705882352941178,3
xkcd:brown red,0.5725490196078431,0.16862745098039217,0.0196078431372549,18
xkcd:olive green,0.403921568627451,0.47843137254901963,0.01568627450980392,7
xkcd:bright lime,0.5294117647058824,0.9921568627450981,0.0196078431372549,29
xkcd:grass,0.3607843137254902,0.6745098039215687,0.17647058823529413,17
xkcd:carmine,0.615686274509804,0.00784313725490196,0.08627450980392157,18
xkcd:soft pink,0.9921568627450981,0.6901960784313725,0.7529411764705882,30
xkcd:turquoise blue,0.023529411764705882,0.6941176470588235,0.7686274509803922,-1
xkcd:orangish red,0.9568627450980393,0.21176470588235294,0.0196078431372549,31
xkcd:reddy brown,0.43137254901960786,0.06274509803921569,0.0196078431372549,18
xkcd:poop,0.4980392156862745,0.3686274509803922,0.0,7
xkcd:dark slate blue,0.12941176470588237,0.2784313725490196,0.3803921568627451,72
xkcd:dodger blue,0.24313725490196078,0.5098039215686274,0.9882352941176471,-1
xkcd:deep turquoise,0.00392156862745098,0.45098039215686275,0.4549019607843137,2
xkcd:bubble gum pink,1.0,0.4117647058823529,0.6862745098039216,-1
xkcd:cool green,0.2,0.7215686274509804,0.39215686274509803,4
xkcd:indigo,0.2196078431372549,0.00784313725490196,0.5098039215686274,-1
xkcd:wisteria,0.6588235294117647,0.49019607843137253,0.7607843137254902,56
xkcd:muted green,0.37254901960784315,0.6274509803921569,0.3215686274509804,17
xkcd:light eggplant,0.5372549019607843,0.27058823529411763,0.5215686274509804,-1
xkcd:swamp,0.4117647058823529,0.5137254901960784,0.2235294117647059,17
xkcd:electric pink,1.0,0.01568627450980392,0.5647058823529412,32
xkcd:murky green,0.4235294117647059,0.47843137254901963,0.054901960784313725,7
xkcd:vomit green,0.5372549019607843,0.6352941176470588,0.011764705882352941,7
xkcd:radioactive green,0.17254901960784313,0.9803921568627451,0.12156862745098039,33
xkcd:aqua green,0.07058823529411765,0.8823529411764706,0.5764705882352941,-1
xkcd:yellow brown,0.7176470588235294,0.5803921568627451,0.0,7
xkcd:fuchsia,0.9294117647058824,0.050980392156862744,0.8509803921568627,34
xkcd:ocean blue,0.011764705882352941,0.44313725490196076,0.611764705882353,2
xkcd:light blue grey,0.7176470588235294,0.788235294117647,0.8862745098039215,76
xkcd:sepia,0.596078431372549,0.3686274509803922,0.16862745098039217,42
xkcd:dark beige,0.6745098039215687,0.5764705882352941,0.3843137254901961,14
xkcd:pear,0.796078431372549,0.9725490196078431,0.37254901960784315,1
xkcd:dusty pink,0.8352941176470589,0.5411764705882353,0.5803921568627451,23
xkcd:mulberry,0.5725490196078431,0.0392156862745098,0.3058823529411765,35
xkcd:twilight blue,0.0392156862745098,0.2627450980392157,0.47843137254901963,36
xkcd:tiffany blue,0.4823529411764706,0.9490196078431372,0.8549019607843137,8
xkcd:sunflower,1.0,0.7725490196078432,0.07058823529411765,26
xkcd:light sky blue,0.7764705882352941,0.9882352941176471,1.0,0
xkcd:lighter green,0.4588235294117647,0.9921568627450981,0.38823529411764707,-1
xkcd:pale orange,1.0,0.6549019607843137,0.33725490196078434,37
xkcd:navy,0.00392156862745098,0.08235294117647059,0.24313725490196078,38
xkcd:flat green,0.4117647058823529,0.615686274509804,0.2980392156862745,17
xkcd:lemon green,0.6784313725490196,0.9725490196078431,0.00784313725490196,29
xkcd:cranberry,0.6196078431372549,0.0,0.22745098039215686,10
xkcd:reddish grey,0.6,0.4588235294117647,0.4392156862745098,17
xkcd:pinkish grey,0.7843137254901961,0.6745098039215687,0.6627450980392157,-1
xkcd:jungle green,0.01568627450980392,0.5098039215686274,0.2627450980392157,65
xkcd:pinkish tan,0.8509803921568627,0.6078431372549019,0.5098039215686274,-1
xkcd:swamp green,0.4549019607843137,0.5215686274509804,0.0,7
xkcd:parchment,0.996078431372549,0.9882352941176471,0.6862745098039216,9
xkcd:blush,0.9490196078431372,0.6196078431372549,0.5568627450980392,39
xkcd:spruce,0.0392156862745098,0.37254901960784315,0.2196078431372549,-1
xkcd:light royal blue,0.22745098039215686,0.1803921568627451,0.996078431372549,-1
